,times_prey_known,times_pred_known,time_steps
0,1,2,13
1,0,5,19
2,0,1,1
3,0,2,15
4,0,1,15
5,1,1,1
6,1,4,4
7,0,3,16
8,0,18,29
9,1,4,4
10,1,8,20
11,0,9,17
12,0,3,6
13,1,13,28
14,0,4,17
15,0,2,16
16,0,2,17
17,0,1,14
18,0,7,20
19,1,2,2
20,0,1,5
21,0,7,18
22,1,2,3
23,0,9,21
24,0,5,17
25,0,2,13
26,0,3,22
27,0,7,19
28,2,1,9
29,0,2,12
30,0,13,24
31,0,2,7
32,3,2,10
33,0,3,14
34,1,5,17
35,1,5,7
36,1,1,9
37,0,8,22
38,1,2,11
39,0,1,5
40,0,1,12
41,1,1,14
42,0,1,1
43,1,1,12
44,0,13,23
45,1,5,9
46,0,3,9
47,0,3,16
48,0,2,14
49,0,3,21
50,0,2,2
51,0,1,1
52,2,4,19
53,0,4,9
54,1,4,16
55,2,3,17
56,0,1,12
57,0,5,18
58,1,16,31
59,1,12,15
60,1,8,22
61,1,3,10
62,1,2,13
63,1,1,4
64,0,9,14
65,1,3,14
66,0,4,13
67,0,17,31
68,0,7,17
69,0,1,9
70,0,2,7
71,1,17,24
72,0,1,6
73,0,2,3
74,1,2,6
75,0,1,3
76,2,4,13
77,0,3,21
78,0,3,13
79,1,9,18
80,1,13,27
81,0,4,6
82,0,5,17
83,0,5,15
84,0,2,12
85,0,1,7
86,0,9,17
87,1,1,1
88,1,10,10
89,0,4,17
90,0,2,11
91,0,5,18
92,0,2,2
93,0,6,21
94,1,1,12
95,1,1,2
96,0,2,17
97,0,13,24
98,0,2,17
99,0,2,13
