,times_prey_known,times_pred_known,time_steps
0,0,19,33
1,0,4,18
2,0,1,13
3,1,8,8
4,0,3,6
5,0,6,16
6,0,3,11
7,0,2,4
8,0,4,15
9,0,6,14
10,0,2,15
11,0,5,5
12,0,5,18
13,0,1,13
14,0,8,8
15,0,12,15
16,0,4,4
17,0,21,37
18,0,3,10
19,1,5,5
20,1,4,4
21,0,8,21
22,0,2,16
23,0,1,6
24,1,7,16
25,0,35,54
26,2,17,35
27,0,1,2
28,0,10,22
29,1,4,8
30,0,4,13
31,0,11,26
32,0,10,17
33,0,7,15
34,0,1,12
35,1,12,21
36,3,9,18
37,1,1,5
38,0,7,8
39,0,46,51
40,1,1,1
41,1,6,11
42,1,7,7
43,1,8,8
44,0,6,12
45,0,2,3
46,1,13,25
47,0,4,14
48,2,41,62
49,0,2,11
50,1,1,1
51,0,2,5
52,0,2,3
53,0,2,13
54,1,4,10
55,0,3,14
56,1,7,20
57,0,12,23
58,0,1,13
59,1,5,5
60,1,1,5
61,2,2,13
62,0,21,30
63,0,18,35
64,0,3,15
65,0,8,11
66,3,1,15
67,0,2,13
68,2,14,27
69,0,7,7
70,0,9,20
71,1,4,15
72,0,1,10
73,0,5,14
74,1,1,9
75,1,6,7
76,0,17,22
77,1,2,2
78,0,17,27
79,0,8,10
80,0,2,15
81,0,3,3
82,0,21,26
83,1,3,6
84,0,21,32
85,1,32,52
86,1,8,18
87,0,12,18
88,0,4,13
89,2,14,15
90,0,14,15
91,0,3,10
92,1,13,17
93,1,6,10
94,1,3,4
95,0,1,11
96,0,11,24
97,0,4,16
98,0,1,13
99,0,7,11
